GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4830620,,4637128,582,3204989,779,1270064,2448,22201,856,58969,1342,1579,292,5592,989,73734,2165,2605,608,71129,2085,193492,582,120475,2565,6480,865,1649,534,630,252,860,674,55486,2744,7912,952,4427,655,3485,661
0400000US02,02,Alaska,733375,,685567,109,457470,298,23755,754,98450,1545,42360,924,8550,387,979,326,54003,1973,492,271,53511,1965,47808,108,26780,1141,1267,367,2863,619,561,281,291,173,8294,976,7752,857,2710,471,5042,754
0400000US04,04,Arizona,6641928,,4627217,,3752853,834,264119,2194,265099,1532,194757,1797,11422,633,7077,816,131890,2706,4917,668,126973,2631,2014711,,1457482,10225,17457,1509,29622,1790,5333,1018,1049,348,423813,9190,79955,3156,42571,2532,37384,2154
0400000US05,05,Arkansas,2958208,,2754982,172,2177308,652,456716,1306,16428,977,39962,997,6727,510,2731,765,55110,1785,1111,408,53999,1823,203226,172,130541,3119,3032,565,1981,569,374,170,118,91,59753,2874,7427,859,4446,601,2981,579
0400000US06,06,California,38421464,,23670778,,14879258,2834,2160795,6110,142191,2512,5192548,8874,139009,1713,84477,3573,1072500,11983,53600,2949,1018900,11275,14750686,,8867755,28761,104592,3912,144837,5078,69430,3141,11361,1155,4890314,34474,662397,12724,342899,8562,319498,6874
0400000US08,08,Colorado,5278906,,4166320,294,3646224,1198,203276,2038,28448,1182,150165,2305,6886,583,9354,1226,121967,3184,3248,511,118719,3145,1112586,293,799871,6201,10511,1069,21560,1820,3302,615,809,342,215020,5292,61513,3473,32538,2286,28975,2134
0400000US09,09,Connecticut,3593222,,3066714,,2487119,1188,346206,2085,4856,509,149368,1087,746,118,10560,1197,67859,2259,5068,700,62791,2222,526508,,291243,5090,24295,1943,4052,658,1302,442,235,133,171321,4543,34060,1961,19063,1511,14997,1324
0400000US10,10,Delaware,926454,,845748,,591922,410,195058,1158,2542,308,33354,591,146,82,2177,564,20549,1364,744,293,19805,1373,80706,,50701,1869,5423,875,598,295,289,153,160,127,18818,1719,4717,682,1955,455,2762,564
0400000US11,11,District of Columbia,647484,,581681,,230489,277,310678,718,1265,157,23494,463,218,101,1790,301,13747,872,829,261,12918,819,65803,,29836,1567,5769,1063,889,566,328,163,32,44,25369,1805,3580,566,1613,356,1967,445
