GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - In labor force:,Margin of Error; Income in the past 12 months below poverty level: - Male: - In labor force:,Estimate; Income in the past 12 months below poverty level: - Male: - In labor force: - Employed,Margin of Error; Income in the past 12 months below poverty level: - Male: - In labor force: - Employed,Estimate; Income in the past 12 months below poverty level: - Male: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months below poverty level: - Male: - In labor force: - Unemployed,Estimate; Income in the past 12 months below poverty level: - Male: - Not in labor force,Margin of Error; Income in the past 12 months below poverty level: - Male: - Not in labor force,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - In labor force:,Margin of Error; Income in the past 12 months below poverty level: - Female: - In labor force:,Estimate; Income in the past 12 months below poverty level: - Female: - In labor force: - Employed,Margin of Error; Income in the past 12 months below poverty level: - Female: - In labor force: - Employed,Estimate; Income in the past 12 months below poverty level: - Female: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months below poverty level: - Female: - In labor force: - Unemployed,Estimate; Income in the past 12 months below poverty level: - Female: - Not in labor force,Margin of Error; Income in the past 12 months below poverty level: - Female: - Not in labor force,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - In labor force:,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - In labor force:,Estimate; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Employed,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Employed,Estimate; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Unemployed,Estimate; Income in the past 12 months at or above poverty level: - Male: - Not in labor force,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Not in labor force,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - In labor force:,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - In labor force:,Estimate; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Employed,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Employed,Estimate; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Unemployed,Estimate; Income in the past 12 months at or above poverty level: - Female: - Not in labor force,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Not in labor force
0400000US01,01,Alabama,3729530,1749,614849,7044,246957,4285,109856,2887,74041,2366,35815,1317,137101,2926,367892,4196,143751,2855,99472,2101,44279,1635,224141,3608,3114681,7328,1517401,4204,1050476,4962,981886,4758,68590,1936,466925,3825,1597280,4622,913642,5195,858148,4860,55494,1772,683638,3906
0400000US02,02,Alaska,539541,912,49089,1777,22824,1063,12160,729,7664,597,4496,444,10664,751,26265,1116,11885,760,8486,610,3399,383,14380,829,490452,1873,253254,1232,195707,1446,181301,1507,14406,856,57547,1309,237198,1256,161654,1631,152899,1676,8755,598,75544,1414
0400000US04,04,Arizona,5067497,1757,807988,9220,358116,4806,178933,3700,125788,3274,53145,1690,179183,3144,449872,5907,173442,3447,125502,2754,47940,1874,276430,4194,4259509,9084,2103237,4869,1466830,5645,1369898,5714,96932,2554,636407,4034,2156272,5774,1257424,5806,1182453,4953,74971,2200,898848,5064
0400000US05,05,Arkansas,2250205,1396,378881,5010,157332,2910,73713,1854,52938,1851,20775,1051,83619,2097,221549,3346,86257,2072,64157,1945,22100,1189,135292,2784,1871324,5049,925182,3002,644684,3559,607668,3629,37016,1230,280498,2679,946142,3508,547980,3585,524013,3324,23967,1062,398162,3094
0400000US06,06,California,29616369,4545,4317953,26305,1899550,13010,981901,7966,688349,6907,293552,4028,917649,8637,2418403,15330,938826,8039,659806,6644,279020,4485,1479577,11501,25298416,26520,12568317,13278,9339732,12495,8617052,12708,722680,7004,3228585,10100,12730099,16159,7809960,14102,7227401,13220,582559,4799,4920139,12570
0400000US08,08,Colorado,4044220,1848,468857,6690,207440,3674,116126,2632,86839,2365,29287,1449,91314,2243,261417,4355,120969,2579,93982,2100,26987,1324,140448,2854,3575363,6558,1787231,4092,1389766,4768,1314935,4849,74831,2063,397465,3231,1788132,4443,1179207,4662,1117827,4711,61380,1695,608925,3856
0400000US09,09,Connecticut,2800174,1317,267299,4318,110822,2847,53289,1950,32754,1692,20535,965,57533,1822,156477,2886,68645,1729,44536,1375,24109,1138,87832,2099,2532875,4346,1233343,3014,945792,3403,873706,3485,72086,1831,287551,2685,1299532,2779,863504,3840,809892,3756,53612,1453,436028,3461
0400000US10,10,Delaware,719520,707,76309,2042,29945,1092,13799,787,9637,705,4162,436,16146,926,46364,1510,19149,873,14000,804,5149,497,27215,1290,643211,2114,310830,1299,224207,1461,208732,1660,15475,910,86623,1236,332381,1594,210342,1932,199034,1864,11308,625,122039,1740
0400000US11,11,District of Columbia,512006,396,83999,2356,34892,1450,14107,1051,8054,920,6053,521,20785,1326,49107,1670,19605,964,11763,732,7842,712,29502,1371,428007,2337,203510,1507,164092,1571,152577,1460,11515,803,39418,937,224497,1653,167751,1500,158299,1496,9452,714,56746,1168
0400000US12,12,Florida,15681104,3876,2317799,19792,998647,10536,476474,6488,315290,5335,161184,3489,522173,6987,1319152,12220,529718,6359,363908,5284,165810,3410,789434,9292,13363305,19512,6505103,11003,4430520,12900,4105364,12877,325156,4492,2074583,9579,6858202,11811,3994837,11449,3735565,11657,259272,4753,2863365,9784
0400000US13,13,Georgia,7518970,2813,1206224,12096,494456,6594,249764,4348,170739,3640,79025,2436,244692,4406,711768,7738,298594,4691,208555,3736,90039,2870,413174,5855,6312746,12661,3071381,6737,2259281,6759,2102195,7149,157086,3605,812100,5123,3241365,8110,2020035,9320,1883554,8959,136481,3116,1221330,6741
0400000US15,15,Hawaii,1068818,1295,111535,3159,48367,1625,20448,1086,14909,923,5539,593,27919,1180,63168,2071,23904,1242,18914,1044,4990,583,39264,1552,957283,3609,471153,2188,342661,2437,324600,2442,18061,978,128492,2069,486130,2104,305390,2105,291930,1985,13460,860,180740,1912
0400000US16,16,Idaho,1204312,1111,171482,3925,76217,2121,41068,1460,31401,1440,9667,821,35149,1649,95265,2445,43061,1341,34728,1268,8333,698,52204,1784,1032830,4125,518866,2680,377199,2893,356538,2919,20661,1033,141667,2310,513964,2528,307024,2642,290925,2779,16099,1010,206940,2719
0400000US17,17,Illinois,9931162,2637,1258166,11081,526844,5200,268469,3874,173874,2956,94595,2414,258375,3230,731322,7671,323699,4823,222674,3753,101025,2399,407623,4847,8672996,10864,4266864,5482,3222333,7284,2990648,7328,231685,3470,1044531,5341,4406132,7549,2842102,8460,2666205,8107,175897,2906,1564030,6349
0400000US18,18,Indiana,4986866,1868,667639,7022,276223,3973,140979,2664,96989,2115,43990,1611,135244,2564,391416,4474,177233,2874,129672,2298,47561,1664,214183,3317,4319227,7217,2139518,4298,1583116,4986,1489663,5048,93453,2123,556402,3864,2179709,4419,1367741,4932,1297673,5271,70068,2128,811968,4049
0400000US19,19,Iowa,2356486,1090,271513,4070,115092,2331,60114,1735,46499,1485,13615,880,54978,1538,156421,2875,77467,2307,64382,1918,13085,887,78954,1975,2084973,4422,1042589,2624,796573,3119,765654,3208,30919,1205,246016,2250,1042384,2924,694775,3136,674048,3188,20727,910,347609,2357
0400000US20,20,Kansas,2161589,1435,262993,4143,113524,2478,61895,1923,47232,1627,14663,942,51629,1940,149469,2454,70755,1563,57021,1451,13734,795,78714,2041,1898596,4712,941941,2762,721419,2958,689025,3140,32394,1198,220522,2101,956655,2909,623634,3138,598122,3079,25512,930,333021,2431
0400000US21,21,Kentucky,3370290,1711,568992,6987,239698,3573,102625,2092,68671,1701,33954,1251,137073,3107,329294,4448,120777,2457,88237,1882,32540,1358,208517,3200,2801298,7162,1385894,4044,972648,4403,912614,4531,60034,1711,413246,2956,1415404,4684,852053,4609,807044,4307,45009,1487,563351,3674
0400000US22,22,Louisiana,3506612,1420,608727,7092,238835,3721,102975,2468,71115,2068,31860,1612,135860,2654,369892,4710,153209,3025,115586,2739,37623,1663,216683,3737,2897885,6907,1425908,3894,1034574,4192,973354,4080,61220,1801,391334,3424,1471977,4744,893707,5311,848285,5310,45422,1609,578270,4090
0400000US23,23,Maine,1066933,732,136843,2968,58759,1712,26702,1145,18230,897,8472,597,32057,1203,78084,1762,30935,1153,23648,1079,7287,494,47149,1482,930090,3045,455484,1790,325582,2011,307316,2134,18266,961,129902,1616,474606,1895,303984,1917,291548,1963,12436,840,170622,1763
0400000US24,24,Maryland,4594061,1796,418198,5686,168790,3285,79302,2170,51543,1570,27759,1289,89488,2090,249408,4044,105412,2425,72500,1954,32912,1374,143996,3072,4175863,5846,2006351,3493,1544240,4322,1447084,4987,97156,2362,462111,3641,2169512,4067,1472291,4514,1393385,4173,78906,1810,697221,3759
0400000US25,25,Massachusetts,5257407,1574,563400,6359,228513,3752,99013,2275,64400,1803,34613,1321,129500,2663,334887,4060,130925,2941,94917,2510,36008,1638,203962,3185,4694007,6560,2287965,4119,1760063,5108,1643571,5178,116492,2308,527902,4296,2406042,4323,1636010,4934,1549720,5198,86290,2188,770032,3844
0400000US26,26,Michigan,7738287,1888,1151174,9086,497857,5119,245741,3289,154162,2622,91579,2244,252116,3748,653317,5821,292054,3469,206330,2899,85724,1806,361263,4134,6587113,9030,3240699,4949,2262057,6107,2093468,6072,168589,2951,978642,3774,3346414,5778,2017286,6112,1891247,6477,126039,2155,1329128,4669
0400000US27,27,Minnesota,4173816,1487,431742,5640,189903,3352,101787,2616,75459,2250,26328,1198,88116,2062,241839,3574,117459,2436,94566,2067,22893,1088,124380,2286,3742074,5805,1865159,3441,1443242,3561,1375467,3740,67775,1724,421917,2870,1876915,3716,1301254,3864,1254620,3964,46634,1374,575661,2902
0400000US28,28,Mississippi,2239227,1571,442399,6732,175768,3589,75705,2146,48927,1757,26778,1367,100063,2614,266631,3938,106348,2308,72633,2032,33715,1348,160283,3045,1796828,6804,879242,3803,610519,3997,569000,3987,41519,1709,268723,2467,917586,4017,541554,4141,507736,4102,33818,1565,376032,2975
0400000US29,29,Missouri,4640568,1873,645054,7765,269952,4242,130386,3125,92003,2497,38383,1503,139566,2550,375102,4776,163850,2784,121900,2504,41950,1631,211252,3320,3995514,8002,1962483,4678,1428261,4874,1343634,4974,84627,1884,534222,3388,2033031,4824,1290069,4648,1230954,4303,59115,1769,742962,3378
0400000US30,30,Montana,791357,837,111104,2472,49859,1554,25893,1129,19703,1007,6190,544,23966,1133,61245,1489,27684,1161,22854,977,4830,473,33561,1177,680253,2591,343560,1555,247943,1974,235439,2071,12504,837,95617,1461,336693,1713,212724,1893,204652,2015,8072,693,123969,1342
0400000US31,31,Nebraska,1403368,825,160058,3194,65327,1830,37427,1400,29440,1298,7987,563,27900,1162,94731,2070,46802,1367,38350,1220,8452,686,47929,1495,1243310,3375,624125,2106,492406,2209,475577,2150,16829,792,131719,1429,619185,2192,427013,2660,414419,2666,12594,519,192172,2203
0400000US32,32,Nevada,2172626,1207,295831,4872,132329,2799,71587,2032,45943,1756,25644,1239,60742,2264,163502,3156,69954,1921,48305,1693,21649,1046,93548,2582,1876795,5107,945622,3036,689422,3175,631578,3081,57844,1667,256200,2608,931173,3216,583829,3709,540707,3737,43122,1392,347344,2779
0400000US33,33,New Hampshire,1049519,706,85606,2744,36307,1463,17151,1003,11670,864,5481,562,19156,1053,49299,1748,20520,1059,15759,985,4761,510,28779,1309,963913,2731,478228,1652,366037,1824,347301,1959,18736,881,112191,1211,485685,1904,326195,2201,313273,2356,12922,864,159490,1705
0400000US34,34,New Jersey,6958104,1652,665104,7694,272539,4463,127345,3104,85250,2720,42095,1551,145194,2894,392565,4824,157245,2830,104720,2238,52525,1661,235320,3709,6293000,8080,3062940,4624,2328303,5065,2155110,5165,173193,2903,734637,3887,3230060,5077,2066977,6334,1923358,6286,143619,2460,1163083,6105
0400000US35,35,New Mexico,1590965,1174,294490,4866,130750,2750,64476,1864,45698,1436,18778,1016,66274,2252,163740,3230,66281,2047,49785,1723,16496,1041,97459,2481,1296475,5230,640395,3164,443176,3011,413014,2934,30162,1324,197219,2449,656080,3234,387804,3252,365273,3118,22531,1220,268276,2645
0400000US36,36,New York,15458170,3000,2170946,14341,902455,7964,399430,5257,277074,3922,122356,3269,503025,5146,1268491,8724,466025,4872,339592,4051,126433,2673,802466,7187,13287224,14291,6462678,8435,4780647,9594,4461738,8619,318909,3849,1682031,7213,6824546,9084,4362543,10500,4111247,10704,251296,3339,2462003,7735
0400000US37,37,North Carolina,7526385,2787,1160430,11894,480544,6396,244841,4435,166218,3796,78623,2338,235703,4821,679886,7382,297160,4214,208585,3695,88575,2185,382726,5786,6365955,11445,3086512,6142,2231354,6996,2078386,7471,152968,2992,855158,5446,3279443,7399,2023721,7818,1896287,8343,127434,2946,1255722,5543
0400000US38,38,North Dakota,549200,757,59947,1415,25615,935,13013,624,11267,561,1746,276,12602,778,34332,1041,16117,871,14405,840,1712,312,18215,855,489253,1634,252739,1242,200882,1270,196185,1363,4697,549,51857,936,236514,1178,164537,1398,161597,1303,2940,336,71977,1190
0400000US39,39,Ohio,8946262,2014,1235559,10416,515256,5903,250656,4086,160850,3099,89806,2380,264600,3878,720303,6522,316978,3854,227875,3115,89103,1968,403325,4271,7710703,10964,3787947,6190,2760716,6414,2592744,6525,167972,3075,1027231,4534,3922756,6445,2465970,6762,2343894,6870,122076,2219,1456786,4900
0400000US40,40,Oklahoma,2892611,1227,427578,4684,179124,2877,85638,2195,64234,1973,21404,889,93486,1810,248454,2875,97604,1847,76157,1747,21447,864,150850,2359,2465033,4828,1221166,3147,893000,3435,853527,3116,39473,1238,328166,2004,1243867,2885,747309,3640,715244,3501,32065,993,496558,2739
0400000US41,41,Oregon,3115493,1421,472120,7756,211957,4058,111014,2693,76590,2288,34424,1655,100943,2261,260163,4785,116979,2989,86262,2277,30717,1543,143184,3203,2643373,7546,1307495,3851,925901,4175,858239,4474,67662,2228,381594,2847,1335878,4780,810619,4763,761026,4832,49593,1672,525259,3515
0400000US42,42,Pennsylvania,10004890,2074,1203027,11265,501777,5973,216085,3876,139606,2902,76479,2459,285692,4261,701250,6711,273535,4070,196361,3097,77174,2261,427715,5280,8801863,11271,4304504,6270,3147596,6586,2943099,6877,204497,3187,1156908,4765,4497359,6892,2813236,7909,2665053,7589,148183,3058,1684123,6001
0400000US44,44,Rhode Island,825565,733,105314,2759,42835,1697,19595,1236,12941,924,6654,666,23240,1062,62479,1879,25456,1182,17587,960,7869,680,37023,1453,720251,2860,351699,1956,264822,2295,246497,2331,18325,1096,86877,1556,368552,1934,245313,1971,230826,2086,14487,922,123239,1713
0400000US45,45,South Carolina,3673615,1666,575926,7013,231388,3694,112727,2575,72817,2038,39910,1804,118661,2824,344538,4971,148482,3370,104468,2896,44014,1674,196056,3418,3097689,6903,1507319,3760,1058498,4472,986306,4598,72192,2223,448821,3461,1590370,4779,953733,5436,894661,5305,59072,1719,636637,4471
0400000US46,46,South Dakota,630607,633,80739,1962,35139,1165,18070,967,13863,862,4207,458,17069,816,45600,1348,21322,892,17504,837,3818,338,24278,980,549868,1996,277686,1353,217719,1554,210860,1495,6859,530,59967,1130,272182,1390,188327,1463,183584,1452,4743,477,83855,1265
0400000US47,47,Tennessee,5020752,1770,775453,8627,321518,4504,153012,3115,104765,2438,48247,1695,168506,3471,453935,5435,180299,3405,127857,3053,52442,1767,273636,3939,4245299,9031,2075267,4966,1482403,5322,1394386,5487,88017,2190,592864,3471,2170032,5613,1318516,6771,1244553,6375,73963,1905,851516,4974
0400000US48,48,Texas,19640591,4718,2901888,20720,1203287,10857,642904,7466,503688,6677,139216,3219,560383,6597,1698601,12209,689773,6608,534889,5927,154884,3411,1008828,8775,16738703,21001,8329155,10947,6405545,12076,6068973,12675,336572,4457,1923610,8294,8409548,12802,5222176,12368,4949803,11911,272373,3972,3187372,10520
0400000US49,49,Utah,2055514,1186,236626,3899,103873,2339,63343,1770,51101,1656,12242,879,40530,1566,132753,2812,63593,2052,51972,1682,11621,879,69160,1815,1818888,4025,915056,2416,725761,2914,693000,3015,32761,1262,189295,2356,903832,2890,557795,3484,533829,3509,23966,1217,346037,2977
0400000US50,50,Vermont,496361,432,53161,1393,22958,905,10600,584,7885,511,2715,301,12358,718,30203,912,12962,684,10151,607,2811,300,17241,697,443200,1500,218186,984,162998,1182,155713,1234,7285,554,55188,1078,225014,1035,152166,1084,146855,1148,5311,505,72848,1162
0400000US51,51,Virginia,6300186,2977,667851,8614,273826,4929,127499,3071,89822,2473,37677,1581,146327,3338,394025,5272,166939,3263,124952,2895,41987,1273,227086,4051,5632335,8642,2733143,5424,2069134,5992,1962216,6316,106918,2487,664009,4232,2899192,5306,1873068,6043,1788848,6459,84220,2254,1026124,4615
0400000US53,53,Washington,5426220,2282,663122,8171,292012,4584,139664,2825,95184,2526,44480,1717,152348,3486,371110,5343,151325,3174,113025,2344,38300,1525,219785,3898,4763098,7994,2374774,4490,1749889,5103,1642650,5715,107239,2563,624885,4057,2388324,5271,1482194,5244,1397577,5514,84617,2261,906130,4946
0400000US54,54,West Virginia,1466914,1039,238803,4742,101985,2612,38726,1631,25805,1245,12921,851,63259,2055,136818,2796,43816,1740,33325,1432,10491,783,93002,2261,1228111,4786,611021,2554,393392,2789,368897,3047,24495,1126,217629,2293,617090,2972,332368,2729,318154,2750,14214,616,284722,2474
0400000US55,55,Wisconsin,4452455,1327,516178,5559,218231,3666,115476,2510,82710,2197,32766,1275,102755,2519,297947,3092,143538,2166,113299,1840,30239,1022,154409,2284,3936277,5732,1965142,3965,1473629,4268,1396598,4407,77031,1548,491513,3359,1971135,3348,1315552,3742,1264223,3987,51329,1101,655583,3350
0400000US56,56,Wyoming,442980,646,46957,1757,19518,1147,10444,789,8473,733,1971,379,9074,735,27439,1055,13225,898,11503,876,1722,258,14214,843,396023,1874,204148,1261,157140,1273,150511,1368,6629,573,47008,1015,191875,1120,126393,1450,121895,1472,4498,499,65482,1274
0400000US72,72,Puerto Rico,2854822,1231,1212954,8040,533005,4552,203964,2870,124961,2479,79003,2077,329041,3781,679949,4741,186780,3088,106688,2362,80092,2425,493169,4438,1641868,8183,800729,4737,480295,4454,434628,4283,45667,1486,320434,2884,841139,4910,426789,3323,396024,3350,30765,1440,414350,3887
