Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
,,,,,,,,,,,,,,,,
Alabama,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,244,"4,722,966","593,200",N,"8,492",693,"37,671"
Alabama,,,22,Utilities,,,Total,,2012,424,Q,"1,361,953","454,940","15,454",268,"8,851"
Alabama,,,23,Construction,,,Total,,2012,"6,869","17,920,322","3,313,715","782,774","78,690","40,485","2,074,255"
Alabama,,,42,Wholesale trade,,,Wholesale Trade,,2012,"5,408","75,844,516","3,669,258","901,695","73,312","5,063","417,700"
Alabama,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"4,600","57,746,565","2,894,745","706,805","60,332",N,N
Alabama,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,282,"10,858,345","623,482","160,411","9,733",N,N
Alabama,,,44-45,Retail trade,,,Total,,2012,"18,211","58,564,965","5,123,078","1,254,165","218,531","27,725","1,286,446"
Alabama,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"2,836","8,422,354","2,460,237","577,477","57,835","12,910","936,236"
Alabama,,,51,Information,,,Total,,2012,"1,574",N,"1,897,597","490,865","35,102","2,963","92,939"
Alabama,,,52,Finance and insurance,,,Total,,2012,"7,294",N,"4,465,655","1,164,339","72,763","8,092","512,602"
Alabama,,,53,Real estate and rental and leasing,,,Total,,2012,"3,858","3,919,446","819,635","195,658","22,852","28,996","2,580,365"
Alabama,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"9,109","16,319,907","5,724,627","1,370,287","89,988","31,470","1,165,999"
Alabama,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"9,062","16,043,507","5,633,054","1,348,820","88,566",N,N
Alabama,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,47,"276,400","91,573","21,467","1,422",N,N
Alabama,,,55,Management of companies and enterprises,,,Total,,2012,630,"587,851","1,501,986","380,565","18,532",N,N
Alabama,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"4,118","6,847,331","3,383,869","795,712","133,280","37,924","636,289"
Alabama,,,61,Educational services,,,All establishments,,2012,554,"292,420","96,963","23,474","3,858","6,663","76,859"
Alabama,,,61,Educational services,,,Establishments subject to federal income tax,,2012,452,"257,486","84,748","20,326","3,258",N,N
Alabama,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,102,"34,934","12,215","3,148",600,N,N
Alabama,,,62,Health care and social assistance,,,All establishments,,2012,"10,305","26,039,632","10,238,906","2,416,821","243,194","22,176","608,528"
Alabama,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"8,489","14,627,847","5,995,013","1,386,609","142,386",N,N
Alabama,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,816","11,411,785","4,243,893","1,030,212","100,808",N,N
Alabama,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"1,086","1,194,045","296,591","68,234","17,170","11,149","192,743"
Alabama,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,782,"885,019","178,337","40,819","10,487",N,N
Alabama,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,304,"309,026","118,254","27,415","6,683",N,N
Alabama,,,72,Accommodation and food services,,,Total,,2012,"8,339","7,576,462","2,071,134","498,001","157,337","4,880","208,163"
Alabama,,,81,Other services (except public administration),,,All establishments,,2012,"6,087","4,377,967","1,117,065","271,228","37,291","64,913","1,363,981"
Alabama,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"5,009","3,191,859","892,951","216,199","31,262",N,N
Alabama,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,078","1,186,108","224,114","55,029","6,029",N,N
Alaska,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,164,"27,473,281","1,454,311",N,"15,014",311,"24,113"
Alaska,,,22,Utilities,,,Total,,2012,86,Q,"184,291","42,187","2,025",56,"2,072"
Alaska,,,23,Construction,,,Total,,2012,"2,166","6,467,442","1,551,525","314,469","24,196","4,588","259,663"
Alaska,,,42,Wholesale trade,,,Wholesale Trade,,2012,743,"9,614,512","516,614","118,663","8,740",551,"34,424"
Alaska,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,638,"5,216,303","440,852","100,586","7,734",N,N
Alaska,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,59,"4,075,995","66,099","15,773",759,N,N
Alaska,,,44-45,Retail trade,,,Total,,2012,"2,508","10,474,275","977,441","230,200","33,721","3,971","155,433"
Alaska,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"1,091","5,175,782","1,183,049","283,910","18,957","2,332","142,622"
Alaska,,,51,Information,,,Total,,2012,399,N,"395,173","114,332","6,523",525,"16,607"
Alaska,,,52,Finance and insurance,,,Total,,2012,740,N,"432,599","115,307","7,215",796,"44,941"
Alaska,,,53,Real estate and rental and leasing,,,Total,,2012,872,"1,022,686","187,629","44,015","4,212","4,538","471,751"
Alaska,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"1,898","3,175,233","1,178,261","265,202","17,648","6,635","282,024"
Alaska,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"1,866","3,140,275","1,163,499","261,658","17,328",N,N
Alaska,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,32,"34,958","14,762","3,544",320,N,N
Alaska,,,55,Management of companies and enterprises,,,Total,,2012,160,"244,590","684,245","204,481","6,274",N,N
Alaska,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"1,131","2,165,815","868,114","209,078","19,836","3,104","75,556"
Alaska,,,61,Educational services,,,All establishments,,2012,188,"91,203","31,700","7,794","1,365","1,470","21,379"
Alaska,,,61,Educational services,,,Establishments subject to federal income tax,,2012,95,"29,259","11,509","2,684",634,N,N
Alaska,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,93,"61,944","20,191","5,110",731,N,N
Alaska,,,62,Health care and social assistance,,,All establishments,,2012,"2,432","6,375,483","2,434,230","575,617","48,701","3,744","148,831"
Alaska,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"1,851","2,810,203","1,098,475","246,347","21,389",N,N
Alaska,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,581,"3,565,280","1,335,755","329,270","27,312",N,N
Alaska,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,545,"406,833","91,011","20,500","5,055","3,140","61,914"
Alaska,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,441,"328,420","68,008","15,196","4,161",N,N
Alaska,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,104,"78,413","23,003","5,304",894,N,N
Alaska,,,72,Accommodation and food services,,,Total,,2012,"2,126","2,221,335","626,004","134,208","26,836","1,608","68,344"
Alaska,,,81,Other services (except public administration),,,All establishments,,2012,"1,355","904,550","235,814","56,517","7,238","5,461","168,754"
Alaska,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,882,"495,908","152,717","36,868","4,807",N,N
Alaska,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,473,"408,642","83,097","19,649","2,431",N,N
Arizona,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,217,"8,197,185","759,997",N,"11,907",390,"28,807"
Arizona,,,22,Utilities,,,Total,,2012,265,Q,"1,096,751","318,693","12,185",307,"16,118"
Arizona,,,23,Construction,,,Total,,2012,"10,577","26,250,281","5,580,421","1,286,831","123,886","34,702","1,771,113"
Arizona,,,42,Wholesale trade,,,Wholesale Trade,,2012,"6,647","96,619,179","5,159,180","1,312,531","88,916","7,428","645,515"
Arizona,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"5,570","69,437,272","4,144,342","1,041,441","73,496",N,N
Arizona,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,361,"15,011,864","776,492","212,608","10,052",N,N
Arizona,,,44-45,Retail trade,,,Total,,2012,"17,479","84,716,542","7,367,834","1,827,805","286,184","35,465","1,540,082"
Arizona,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"3,110","13,863,748","3,442,258","834,963","80,725","15,923","1,005,655"
Arizona,,,51,Information,,,Total,,2012,"2,117",N,"2,983,050","769,672","48,994","5,748","214,909"
Arizona,,,52,Finance and insurance,,,Total,,2012,"9,196",N,"7,846,586","2,176,122","128,762","14,733","977,123"
Arizona,,,53,Real estate and rental and leasing,,,Total,,2012,"8,089","9,329,704","1,693,206","422,388","40,479","57,193","4,415,488"
Arizona,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"16,198","19,268,106","7,378,696","1,755,901","121,381","61,695","2,629,411"
Arizona,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"16,112","19,041,887","7,272,614","1,729,773","119,843",N,N
Arizona,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,86,"226,219","106,082","26,128","1,538",N,N
Arizona,,,55,Management of companies and enterprises,,,Total,,2012,922,D,D,D,k,N,N
Arizona,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"8,051","13,486,148","6,543,604","1,561,018","216,880","37,639","892,901"
Arizona,,,61,Educational services,,,All establishments,,2012,"1,301","1,238,438","483,973","116,538","12,809","10,679","153,826"
