"","State","City","Year","Population","Violent.Crime","Murder","Rape.Revised","Rape.Legacy","Robbery","Aggravated.Assault","Property.Crime","Burglary","Larceny.Theft","Motor.Vehicle.Theft","Arson"
"1","ALABAMA","BIRMINGHAM",2014,212115,1619,23,83,0,454,1059,6596,1716,4169,711,76
"2","ALABAMA","BIRMINGHAM",2015,215069,1756,30,77,0,507,1142,6246,1446,4120,680,72
"3","ALABAMA","HUNTSVILLE",2014,187624,770,12,50,0,188,520,4376,908,3111,357,12
"4","ALABAMA","HUNTSVILLE",2015,190106,723,5,65,0,173,480,4121,836,2903,382,11
"5","ALABAMA","MOBILE",2014,250655,747,17,67,0,203,460,5747,1461,4039,247,54
"6","ALABAMA","MOBILE",2015,254146,755,9,69,0,186,491,5210,1032,3886,292,51
"7","ALABAMA","MONTGOMERY",2014,200194,504,14,21,0,218,251,4142,1153,2689,300,31
"8","ALABAMA","MONTGOMERY",2015,202982,519,20,14,0,191,294,4029,1236,2442,351,31
"9","ALASKA","ANCHORAGE",2014,301306,1209,6,193,0,247,763,5515,629,4474,412,33
"10","ALASKA","ANCHORAGE",2015,301239,1615,16,323,0,271,1005,5732,811,4516,405,63
"11","ARIZONA","CHANDLER",2014,252369,228,1,24,0,55,148,2941,518,2315,108,49
"12","ARIZONA","CHANDLER",2015,258875,206,0,26,0,51,129,2524,384,2033,107,26
"13","ARIZONA","GILBERT",2014,235430,113,0,9,0,31,73,1670,239,1368,63,10
"14","ARIZONA","GILBERT",2015,247324,92,0,13,0,14,65,1588,241,1283,64,12
"15","ARIZONA","GLENDALE",2014,236780,431,8,59,0,170,194,6055,969,4584,502,23
"16","ARIZONA","GLENDALE",2015,240078,436,5,49,0,161,221,6290,1066,4701,523,26
"17","ARIZONA","PEORIA",2014,164722,120,1,17,0,27,75,1752,294,1365,93,3
"18","ARIZONA","PEORIA",2015,170222,146,1,16,0,25,104,1676,367,1207,102,5
"19","ARIZONA","PHOENIX",2014,1529852,4234,50,486,0,1407,2291,28145,6928,17672,3545,173
"20","ARIZONA","PHOENIX",2015,1551160,4513,52,509,0,1502,2450,27356,6645,17089,3622,164
"21","ARIZONA","SCOTTSDALE",2014,229325,173,0,38,0,39,96,2629,449,2076,104,5
"22","ARIZONA","SCOTTSDALE",2015,233872,189,3,48,0,53,85,2580,398,2091,91,4
"23","ARIZONA","SURPRISE",2014,125049,69,3,4,0,19,43,998,167,758,73,9
"24","ARIZONA","SURPRISE",2015,126791,85,1,6,0,20,58,1088,231,807,50,10
"25","ARIZONA","TEMPE",2014,169812,429,1,48,0,93,287,3878,596,3061,221,24
"26","ARIZONA","TEMPE",2015,175556,348,2,47,0,83,216,3731,531,3043,157,30
"27","ARIZONA","TUCSON",2014,527328,1468,16,0,0,507,945,17411,1862,14529,1020,61
"28","ARIZONA","TUCSON",2015,529675,1706,16,213,0,516,961,16680,1784,13919,977,58
"29","CALIFORNIA","ANAHEIM",2014,346956,537,5,0,37,203,292,4206,619,2915,672,9
"30","CALIFORNIA","ANAHEIM",2015,349471,628,10,65,0,211,342,5018,724,3472,822,9
"31","CALIFORNIA","ANTIOCH",2014,108223,419,3,0,30,148,238,2131,701,921,509,23
"32","CALIFORNIA","ANTIOCH",2015,110537,387,2,31,0,135,219,1931,496,895,540,18
"33","CALIFORNIA","BAKERSFIELD",2014,367406,861,7,0,8,334,512,7609,2147,4354,1108,203
"34","CALIFORNIA","BAKERSFIELD",2015,373887,879,12,38,0,324,505,7748,1885,4661,1202,204
"35","CALIFORNIA","BERKELEY",2014,117753,179,1,20,0,108,50,2391,410,1680,301,5
"36","CALIFORNIA","BERKELEY",2015,120387,269,0,20,0,165,84,2909,587,1971,351,9
"37","CALIFORNIA","BURBANK",2014,105041,70,1,0,4,27,38,1264,161,1011,92,9
"38","CALIFORNIA","BURBANK",2015,105865,69,0,5,0,25,39,1282,143,1047,92,4
"39","CALIFORNIA","CARLSBAD",2014,112297,101,1,0,8,22,70,894,188,655,51,2
"40","CALIFORNIA","CARLSBAD",2015,113972,88,0,15,0,18,55,1028,188,782,58,5
"41","CALIFORNIA","CHULA VISTA",2014,259894,292,3,0,20,107,162,2350,313,1605,432,21
"42","CALIFORNIA","CHULA VISTA",2015,265215,318,2,30,0,121,165,2210,305,1511,394,20
"43","CALIFORNIA","CONCORD",2014,126744,217,1,12,0,78,126,2466,417,1597,452,2
"44","CALIFORNIA","CONCORD",2015,128767,241,0,15,0,91,135,2367,338,1512,517,4
"45","CALIFORNIA","CORONA",2014,161128,90,0,0,13,34,43,1732,270,1209,253,10
"46","CALIFORNIA","CORONA",2015,163633,93,0,9,0,42,42,1794,275,1310,209,5
"47","CALIFORNIA","COSTA MESA",2014,112709,127,0,0,15,38,74,1675,273,1235,167,12
"48","CALIFORNIA","COSTA MESA",2015,113477,187,1,25,0,67,94,2345,336,1777,232,8
"49","CALIFORNIA","DALY CITY",2014,105628,100,2,12,0,39,47,817,163,519,135,6
"50","CALIFORNIA","DALY CITY",2015,107320,132,0,8,0,49,75,965,180,646,139,2
"51","CALIFORNIA","DOWNEY",2014,113595,146,2,0,9,62,73,1444,240,835,369,9
"52","CALIFORNIA","DOWNEY",2015,114754,150,2,11,0,84,53,1356,210,784,362,5
"53","CALIFORNIA","EL CAJON",2014,102838,188,2,0,11,83,92,1177,203,806,168,4
"54","CALIFORNIA","EL CAJON",2015,103942,158,0,25,0,42,91,1118,179,766,173,8
"55","CALIFORNIA","ELK GROVE",2014,162957,315,0,16,0,56,243,1427,291,1051,85,3
"56","CALIFORNIA","ELK GROVE",2015,117376,296,1,19,0,51,225,1539,318,1109,112,3
"57","CALIFORNIA","EL MONTE",2014,116220,174,1,0,7,81,85,1063,231,566,266,1
"58","CALIFORNIA","EL MONTE",2015,166183,195,2,13,0,65,115,1057,224,525,308,12
"59","CALIFORNIA","ESCONDIDO",2014,149839,245,0,0,11,69,165,1628,260,1063,305,10
"60","CALIFORNIA","ESCONDIDO",2015,151732,270,5,30,0,89,146,1636,218,1103,315,7
"61","CALIFORNIA","FAIRFIELD",2014,110300,276,4,0,20,104,148,1854,313,1217,324,7
"62","CALIFORNIA","FAIRFIELD",2015,112582,247,2,17,0,80,148,1739,247,1246,246,11
"63","CALIFORNIA","FONTANA",2014,204532,366,2,0,8,100,256,1823,321,1075,427,4
"64","CALIFORNIA","FONTANA",2015,206982,384,2,19,0,100,263,2157,375,1271,511,3
"65","CALIFORNIA","FREMONT",2014,227575,115,1,0,7,51,56,2093,401,1389,303,9
"66","CALIFORNIA","FREMONT",2015,232427,144,1,19,0,70,54,2172,438,1390,344,9
"67","CALIFORNIA","FULLERTON",2014,139895,163,0,0,14,57,92,1638,276,1194,168,16
"68","CALIFORNIA","FULLERTON",2015,141843,193,0,30,0,50,113,1924,222,1485,217,15
"69","CALIFORNIA","GARDEN GROVE",2014,176106,211,3,0,7,64,137,1540,312,979,249,16
"70","CALIFORNIA","GARDEN GROVE",2015,176041,267,1,23,0,81,162,2198,380,1491,327,10
"71","CALIFORNIA","GLENDALE",2014,197079,86,0,0,4,31,51,1571,257,1173,141,11
"72","CALIFORNIA","GLENDALE",2015,202298,95,3,8,0,37,47,1693,262,1259,172,5
"73","CALIFORNIA","HAYWARD",2014,153319,289,5,20,0,152,112,2372,474,1237,661,22
"74","CALIFORNIA","HAYWARD",2015,157157,294,3,33,0,164,94,2338,385,1259,694,17
"75","CALIFORNIA","HUNTINGTON BEACH",2014,199152,191,1,27,0,50,113,2120,298,1675,147,7
"76","CALIFORNIA","HUNTINGTON BEACH",2015,203233,178,0,21,0,52,105,2388,360,1838,190,14
"77","CALIFORNIA","INGLEWOOD",2014,111997,357,14,0,14,162,167,1356,279,731,346,12
"78","CALIFORNIA","INGLEWOOD",2015,112450,347,2,17,0,160,168,1282,260,679,343,4
"79","CALIFORNIA","IRVINE",2014,242971,54,0,0,9,17,28,1495,266,1167,62,4
"80","CALIFORNIA","IRVINE",2015,258198,56,1,11,0,20,24,1949,251,1598,100,3
"81","CALIFORNIA","LANCASTER",2014,160190,459,3,0,26,109,321,1659,503,966,190,22
"82","CALIFORNIA","LANCASTER",2015,162095,481,6,42,0,146,287,1707,526,979,202,27
"83","CALIFORNIA","LONG BEACH",2014,471123,1096,14,0,60,429,593,6123,1785,3203,1135,44
"84","CALIFORNIA","LONG BEACH",2015,476318,1312,13,94,0,465,740,6813,1470,4089,1254,28
"85","CALIFORNIA","LOS ANGELES",2014,3906772,8700,132,522,0,3619,4427,39703,6875,26431,6397,675
"86","CALIFORNIA","LOS ANGELES",2015,3962726,10814,128,665,0,4274,5747,45362,8190,29648,7524,638
"87","CALIFORNIA","MODESTO",2014,205820,869,7,0,31,204,627,4663,1009,3066,588,29
"88","CALIFORNIA","MODESTO",2015,210794,983,9,50,0,235,689,4857,722,3294,841,28
"89","CALIFORNIA","MORENO VALLEY",2014,202911,248,1,0,9,116,122,3124,863,1789,472,7
"90","CALIFORNIA","MORENO VALLEY",2015,205182,282,2,16,0,125,139,3105,612,2025,468,5
"91","CALIFORNIA","MURRIETA",2014,108376,21,0,0,2,7,12,735,140,488,107,6
"92","CALIFORNIA","MURRIETA",2015,109495,42,0,7,0,17,18,981,157,672,152,5
"93","CALIFORNIA","NORWALK",2014,106838,171,5,0,8,64,94,996,195,588,213,7
"94","CALIFORNIA","NORWALK",2015,107470,194,2,12,0,69,111,942,169,553,220,1
"95","CALIFORNIA","OCEANSIDE",2014,174102,338,2,0,28,84,224,1924,305,1417,202,19
"96","CALIFORNIA","OCEANSIDE",2015,176319,313,6,33,0,102,172,2156,264,1666,226,9
"97","CALIFORNIA","ONTARIO",2014,168278,231,4,0,9,88,130,2207,399,1412,396,12
"98","CALIFORNIA","ONTARIO",2015,170274,263,2,14,0,100,147,2542,442,1595,505,19
"99","CALIFORNIA","ORANGE",2014,140767,77,0,0,2,31,44,1116,202,790,124,18
"100","CALIFORNIA","ORANGE",2015,140572,96,2,6,0,31,57,1502,287,1042,173,4
"101","CALIFORNIA","OXNARD",2014,204159,447,5,27,0,233,182,2968,584,2041,343,21
"102","CALIFORNIA","OXNARD",2015,207221,446,6,12,0,193,235,3312,490,2430,392,12
"103","CALIFORNIA","PALMDALE",2014,158210,409,5,0,14,120,270,1525,385,1010,130,12
"104","CALIFORNIA","PALMDALE",2015,159613,406,4,24,0,121,257,1590,424,920,246,14
"105","CALIFORNIA","PASADENA",2014,140373,174,3,0,11,53,107,1767,364,1282,121,14
"106","CALIFORNIA","PASADENA",2015,141815,204,1,28,0,66,109,1951,409,1372,170,30
"107","CALIFORNIA","POMONA",2014,151899,400,8,0,24,123,245,2199,299,1395,505,6
"108","CALIFORNIA","POMONA",2015,154410,400,7,35,0,147,211,2321,323,1314,684,27
"109","CALIFORNIA","RANCHO CUCAMONGA",2014,172694,130,3,6,0,44,77,1866,663,975,228,11
"110","CALIFORNIA","RANCHO CUCAMONGA",2015,176376,97,1,14,0,36,46,1906,608,1129,169,4
"111","CALIFORNIA","RIALTO",2014,102540,162,0,0,11,58,93,1149,331,452,366,8
"112","CALIFORNIA","RIALTO",2015,103590,207,1,19,0,73,114,1020,310,410,300,8
"113","CALIFORNIA","RIVERSIDE",2014,319453,658,9,0,69,221,359,4657,768,3163,726,48
"114","CALIFORNIA","RIVERSIDE",2015,323064,679,3,63,0,253,360,4949,781,3416,752,45
"115","CALIFORNIA","ROSEVILLE",2014,128997,101,1,9,0,27,64,1509,204,1191,114,8
"116","CALIFORNIA","ROSEVILLE",2015,130794,123,0,15,0,32,76,1621,242,1240,139,5
"117","CALIFORNIA","SACRAMENTO",2014,482767,1460,18,0,31,464,947,7642,1594,4908,1140,75
"118","CALIFORNIA","SACRAMENTO",2015,489717,1830,25,50,0,572,1183,8056,1798,4858,1400,71
"119","CALIFORNIA","SALINAS",2014,156908,471,7,0,13,205,246,2743,702,1328,713,20
"120","CALIFORNIA","SALINAS",2015,158185,589,12,40,0,224,313,2361,456,1033,872,12
"121","CALIFORNIA","SAN BERNARDINO",2014,214588,1058,26,0,47,400,585,4559,1133,2186,1240,67
"122","CALIFORNIA","SAN BERNARDINO",2015,216477,1223,16,50,0,419,738,5050,1562,2174,1314,28
"123","CALIFORNIA","SAN DIEGO",2014,1368690,2591,19,0,183,635,1754,13759,2647,8515,2597,110
"124","CALIFORNIA","SAN DIEGO",2015,1400467,2845,17,253,0,659,1916,13776,2435,8898,2443,104
"125","CALIFORNIA","SAN FRANCISCO",2014,850294,3279,14,163,0,1510,1592,21330,2722,15613,2995,117
"126","CALIFORNIA","SAN FRANCISCO",2015,863782,3453,24,174,0,1899,1356,27001,2653,20854,3494,160
"127","CALIFORNIA","SAN JOSE",2014,1009679,1629,19,0,145,561,904,12053,2501,5657,3895,63
"128","CALIFORNIA","SAN JOSE",2015,1031458,1700,11,178,0,581,930,12717,2466,6605,3646,60
"129","CALIFORNIA","SAN MATEO",2014,102082,107,0,0,10,43,54,994,158,744,92,4
"130","CALIFORNIA","SAN MATEO",2015,104306,118,0,5,0,27,86,977,355,540,82,3
"131","CALIFORNIA","SANTA ANA",2014,336462,619,10,0,50,219,340,2793,413,1783,597,8
"132","CALIFORNIA","SANTA ANA",2015,337304,773,6,69,0,259,439,3618,392,2287,939,18
"133","CALIFORNIA","SANTA CLARA",2014,121114,77,0,0,22,39,16,1653,289,1152,212,6
"134","CALIFORNIA","SANTA CLARA",2015,123562,79,0,6,0,40,33,1848,280,1344,224,6
"135","CALIFORNIA","SANTA MARIA",2014,102885,225,0,0,18,78,129,1642,337,824,481,8
"136","CALIFORNIA","SANTA MARIA",2015,104355,214,4,26,0,67,117,1466,328,804,334,4
"137","CALIFORNIA","SANTA ROSA",2014,172991,302,0,0,31,60,211,2107,335,1560,212,35
"138","CALIFORNIA","SANTA ROSA",2015,175738,312,2,40,0,65,205,2313,324,1739,250,20
"139","CALIFORNIA","SIMI VALLEY",2014,126604,50,0,0,9,10,31,778,134,598,46,2
"140","CALIFORNIA","SIMI VALLEY",2015,127472,83,1,12,0,20,50,801,132,613,56,5
"141","CALIFORNIA","STOCKTON",2014,299519,1972,21,0,61,532,1358,6725,1638,4150,937,37
"142","CALIFORNIA","STOCKTON",2015,304890,2019,18,65,0,570,1366,6399,1450,3999,950,47
"143","CALIFORNIA","SUNNYVALE",2014,149384,78,0,9,0,36,33,1143,250,749,144,12
"144","CALIFORNIA","SUNNYVALE",2015,152443,78,0,17,0,34,27,1231,302,778,151,7
"145","CALIFORNIA","TEMECULA",2014,108308,44,1,0,4,26,13,1318,380,830,108,5
"146","CALIFORNIA","TEMECULA",2015,111673,51,0,5,0,20,26,1503,266,1077,160,1
