"","StateName","NAIC","Type.of.Operation.Or.Status.Code","Value.1000"
"2","Alabama","Mining, quarrying, and oil and gas extraction","Total",4722966
"3","Alabama","Utilities","Total",NA
"4","Alabama","Construction","Total",17920322
"5","Alabama","Wholesale trade","Wholesale Trade",75844516
"6","Alabama","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",57746565
"7","Alabama","Wholesale trade","Manufacturers' sales branches and offices",10858345
"8","Alabama","Retail trade","Total",58564965
"9","Alabama","Transportation and warehousing (104)","Total",8422354
"10","Alabama","Information","Total",NA
"11","Alabama","Finance and insurance","Total",NA
"12","Alabama","Real estate and rental and leasing","Total",3919446
"13","Alabama","Professional, scientific, and technical services","All establishments",16319907
"16","Alabama","Management of companies and enterprises","Total",587851
"17","Alabama","Administrative and support and waste management and remediation services","Total",6847331
"18","Alabama","Educational services","All establishments",292420
"21","Alabama","Health care and social assistance","All establishments",26039632
"24","Alabama","Arts, entertainment, and recreation","All establishments",1194045
"27","Alabama","Accommodation and food services","Total",7576462
"28","Alabama","Other services (except public administration)","All establishments",4377967
"31","Alaska","Mining, quarrying, and oil and gas extraction","Total",27473281
"32","Alaska","Utilities","Total",NA
"33","Alaska","Construction","Total",6467442
"34","Alaska","Wholesale trade","Wholesale Trade",9614512
"35","Alaska","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",5216303
"36","Alaska","Wholesale trade","Manufacturers' sales branches and offices",4075995
"37","Alaska","Retail trade","Total",10474275
"38","Alaska","Transportation and warehousing (104)","Total",5175782
"39","Alaska","Information","Total",NA
"40","Alaska","Finance and insurance","Total",NA
"41","Alaska","Real estate and rental and leasing","Total",1022686
"42","Alaska","Professional, scientific, and technical services","All establishments",3175233
"45","Alaska","Management of companies and enterprises","Total",244590
"46","Alaska","Administrative and support and waste management and remediation services","Total",2165815
"47","Alaska","Educational services","All establishments",91203
"50","Alaska","Health care and social assistance","All establishments",6375483
"53","Alaska","Arts, entertainment, and recreation","All establishments",406833
"56","Alaska","Accommodation and food services","Total",2221335
"57","Alaska","Other services (except public administration)","All establishments",904550
"60","Arizona","Mining, quarrying, and oil and gas extraction","Total",8197185
"61","Arizona","Utilities","Total",NA
"62","Arizona","Construction","Total",26250281
"63","Arizona","Wholesale trade","Wholesale Trade",96619179
"64","Arizona","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",69437272
"65","Arizona","Wholesale trade","Manufacturers' sales branches and offices",15011864
"66","Arizona","Retail trade","Total",84716542
"67","Arizona","Transportation and warehousing (104)","Total",13863748
"68","Arizona","Information","Total",NA
"69","Arizona","Finance and insurance","Total",NA
"70","Arizona","Real estate and rental and leasing","Total",9329704
"71","Arizona","Professional, scientific, and technical services","All establishments",19268106
"74","Arizona","Management of companies and enterprises","Total",NA
"75","Arizona","Administrative and support and waste management and remediation services","Total",13486148
"76","Arizona","Educational services","All establishments",1238438
"79","Arizona","Health care and social assistance","All establishments",37055881
"82","Arizona","Arts, entertainment, and recreation","All establishments",3810203
"85","Arizona","Accommodation and food services","Total",13996635
"86","Arizona","Other services (except public administration)","All establishments",6231666
"89","Arkansas","Mining, quarrying, and oil and gas extraction","Total",5338251
"90","Arkansas","Utilities","Total",NA
"91","Arkansas","Construction","Total",8979189
"92","Arkansas","Wholesale trade","Wholesale Trade",61691589
"93","Arkansas","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",31256110
"94","Arkansas","Wholesale trade","Manufacturers' sales branches and offices",17669424
"95","Arkansas","Retail trade","Total",36815256
"96","Arkansas","Transportation and warehousing (104)","Total",7944928
"97","Arkansas","Information","Total",NA
"98","Arkansas","Finance and insurance","Total",NA
"99","Arkansas","Real estate and rental and leasing","Total",1922699
"100","Arkansas","Professional, scientific, and technical services","All establishments",4527996
"103","Arkansas","Management of companies and enterprises","Total",928213
"104","Arkansas","Administrative and support and waste management and remediation services","Total",3180510
"105","Arkansas","Educational services","All establishments",142072
"108","Arkansas","Health care and social assistance","All establishments",15792628
"111","Arkansas","Arts, entertainment, and recreation","All establishments",704439
"114","Arkansas","Accommodation and food services","Total",4307264
"115","Arkansas","Other services (except public administration)","All establishments",2339440
"118","California","Mining, quarrying, and oil and gas extraction","Total",22114832
"119","California","Utilities","Total",NA
"120","California","Construction","Total",148546029
"121","California","Wholesale trade","Wholesale Trade",969249516
"122","California","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",666652186
"123","California","Wholesale trade","Manufacturers' sales branches and offices",222052862
"124","California","Retail trade","Total",481800461
"125","California","Transportation and warehousing (104)","Total",78925731
"126","California","Information","Total",NA
"127","California","Finance and insurance","Total",NA
"128","California","Real estate and rental and leasing","Total",78740158
"129","California","Professional, scientific, and technical services","All establishments",234371249
"132","California","Management of companies and enterprises","Total",14197087
"133","California","Administrative and support and waste management and remediation services","Total",88134862
"134","California","Educational services","All establishments",7784661
"137","California","Health care and social assistance","All establishments",248953592
"140","California","Arts, entertainment, and recreation","All establishments",39179497
"143","California","Accommodation and food services","Total",90830372
"144","California","Other services (except public administration)","All establishments",50439225
"147","Colorado","Mining, quarrying, and oil and gas extraction","Total",20176242
"148","Colorado","Utilities","Total",NA
"149","Colorado","Construction","Total",29823432
"150","Colorado","Wholesale trade","Wholesale Trade",118605118
"151","Colorado","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",77034971
"152","Colorado","Wholesale trade","Manufacturers' sales branches and offices",31012973
"153","Colorado","Retail trade","Total",67815200
"154","Colorado","Transportation and warehousing (104)","Total",13962736
"155","Colorado","Information","Total",NA
"156","Colorado","Finance and insurance","Total",NA
"157","Colorado","Real estate and rental and leasing","Total",8482453
"158","Colorado","Professional, scientific, and technical services","All establishments",33740692
"161","Colorado","Management of companies and enterprises","Total",1527616
"162","Colorado","Administrative and support and waste management and remediation services","Total",16133054
"163","Colorado","Educational services","All establishments",1301886
"166","Colorado","Health care and social assistance","All establishments",29488161
"169","Colorado","Arts, entertainment, and recreation","All establishments",3783005
"172","Colorado","Accommodation and food services","Total",13617654
"173","Colorado","Other services (except public administration)","All establishments",8518960
"176","Connecticut","Mining, quarrying, and oil and gas extraction","Total",413836
"177","Connecticut","Utilities","Total",NA
"178","Connecticut","Construction","Total",15313759
"179","Connecticut","Wholesale trade","Wholesale Trade",216165548
"180","Connecticut","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",161962244
"181","Connecticut","Wholesale trade","Manufacturers' sales branches and offices",34117184
"182","Connecticut","Retail trade","Total",51632467
"183","Connecticut","Transportation and warehousing (104)","Total",5113665
"184","Connecticut","Information","Total",NA
"185","Connecticut","Finance and insurance","Total",NA
"186","Connecticut","Real estate and rental and leasing","Total",5349451
"187","Connecticut","Professional, scientific, and technical services","All establishments",17993705
"190","Connecticut","Management of companies and enterprises","Total",NA
"191","Connecticut","Administrative and support and waste management and remediation services","Total",8783808
"192","Connecticut","Educational services","All establishments",830253
"195","Connecticut","Health care and social assistance","All establishments",29573119
"198","Connecticut","Arts, entertainment, and recreation","All establishments",2298479
"201","Connecticut","Accommodation and food services","Total",9542068
"202","Connecticut","Other services (except public administration)","All establishments",4903953
"205","Delaware","Mining, quarrying, and oil and gas extraction","Total",43355
"206","Delaware","Utilities","Total",NA
"207","Delaware","Construction","Total",3813648
"208","Delaware","Wholesale trade","Wholesale Trade",20473953
"209","Delaware","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",5628914
"210","Delaware","Wholesale trade","Manufacturers' sales branches and offices",13364198
"211","Delaware","Retail trade","Total",14456001
"212","Delaware","Transportation and warehousing (104)","Total",1056221
"213","Delaware","Information","Total",NA
"214","Delaware","Finance and insurance","Total",NA
"215","Delaware","Real estate and rental and leasing","Total",5471215
"216","Delaware","Professional, scientific, and technical services","All establishments",NA
"219","Delaware","Management of companies and enterprises","Total",NA
"220","Delaware","Administrative and support and waste management and remediation services","Total",1631737
"221","Delaware","Educational services","All establishments",NA
"224","Delaware","Health care and social assistance","All establishments",7003251
"227","Delaware","Arts, entertainment, and recreation","All establishments",650636
"230","Delaware","Accommodation and food services","Total",2148437
"231","Delaware","Other services (except public administration)","All establishments",974725
"234","District of Columbia","Utilities","Total",NA
"235","District of Columbia","Construction","Total",2651600
"236","District of Columbia","Wholesale trade","Wholesale Trade",4102757
"237","District of Columbia","Wholesale trade","Merchant wholesalers, except manufacturers' sales branches and offices",2591868
"238","District of Columbia","Wholesale trade","Manufacturers' sales branches and offices",1377744
"239","District of Columbia","Retail trade","Total",4439933
"240","District of Columbia","Transportation and warehousing (104)","Total",1967947
"241","District of Columbia","Information","Total",NA
"242","District of Columbia","Finance and insurance","Total",NA
"243","District of Columbia","Real estate and rental and leasing","Total",3213899
"244","District of Columbia","Professional, scientific, and technical services","All establishments",31866325
"247","District of Columbia","Management of companies and enterprises","Total",457028
"248","District of Columbia","Administrative and support and waste management and remediation services","Total",2700311
"249","District of Columbia","Educational services","All establishments",903400
"252","District of Columbia","Health care and social assistance","All establishments",8963981
"255","District of Columbia","Arts, entertainment, and recreation","All establishments",1021366
"258","District of Columbia","Accommodation and food services","Total",5101602
"259","District of Columbia","Other services (except public administration)","All establishments",19773475
"262","Florida","Mining, quarrying, and oil and gas extraction","Total",2888089
"263","Florida","Utilities","Total",NA
