"","StateName","Estimate; Total:","Estimate; Not Hispanic or Latino: - White alone","Estimate; Not Hispanic or Latino: - Black or African American alone","Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone","Estimate; Not Hispanic or Latino: - Asian alone","Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone","Estimate; Not Hispanic or Latino: - Some other race alone","Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race","Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Estimate; Hispanic or Latino: - White alone","Estimate; Hispanic or Latino: - Black or African American alone","Estimate; Hispanic or Latino: - American Indian and Alaska Native alone","Estimate; Hispanic or Latino: - Asian alone","Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone","Estimate; Hispanic or Latino: - Some other race alone","Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race","Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
"2","Alabama",4830620,66.3473632784197,26.291945961388,0.459589038260099,1.22073357043195,0.0326873154998737,0.115761537856424,0.0539268251280374,1.47246109195093,2.49398627919398,0.134144271335771,0.0341364048507231,0.0130418041576444,0.0178030977390066,1.14863102458898,0.0916445508030025,0.0721439483958581
"3","Alaska",733375,62.3787284813363,3.23913414010568,13.4242372592466,5.77603545253111,1.16584284983808,0.133492415203682,0.0670870973240157,7.29653996931992,3.65161070393728,0.172762911198227,0.390386909834669,0.0764956536560423,0.0396795636611556,1.13093574228737,0.369524458837566,0.687506391682291
"4","Arizona",6641928,56.5024643446903,3.97654114889532,3.9912959008288,2.93223594113035,0.17196813937158,0.106550387176735,0.0740297094458115,1.91168889515213,21.9436585280659,0.262830310717009,0.445984960993254,0.0802929510828783,0.0157936069165459,6.38087314406299,0.640943412816279,0.562848618654102
"5","Arkansas",2958208,73.602261909913,15.4389414131799,0.55533620353944,1.35088540089135,0.227401183419151,0.0923194041798278,0.0375565207044265,1.82539564493099,4.41284047639652,0.102494483146554,0.0669662173856605,0.0126427891480248,0.00398890138894899,2.01990529401584,0.150293691315824,0.10077046644455
"6","California",38421464,38.7264212524541,5.62392677176487,0.370082201969191,13.5147062589807,0.361800372833268,0.219869289728262,0.139505355652247,2.65190311332228,23.0802111028356,0.272222838775743,0.376968977548591,0.180706284383125,0.0295694094321861,12.7280782429321,0.892467293802235,0.831561233585477
"7","Colorado",5278906,69.0715841502008,3.85072210037459,0.538899537138945,2.84462348827579,0.130443694204822,0.177195805343001,0.0615278999095646,2.2489318809617,15.1522114619961,0.19911322535389,0.408417956296248,0.062550839132199,0.0153251450205781,4.07319243797863,0.616377711594031,0.548882666219099
"8","Connecticut",3593222,69.2169590412171,9.63497384798379,0.135143333754497,4.15693770103823,0.0207613111575071,0.293886656599564,0.141043331027139,1.74748456955902,8.10534389469952,0.676134121409699,0.112767872399757,0.0362348889102872,0.00654009131637288,4.76789355069072,0.530526641549005,0.417369146687847
"9","Delaware",926454,63.8911376064003,21.0542563365262,0.274379515874506,3.60017874605755,0.0157590123200936,0.234981985074272,0.0803061997681482,2.13772081506475,5.47258687425388,0.585350163094984,0.0645471874480546,0.0311942093185415,0.0172701504877738,2.0311855742433,0.211019651272486,0.298125972795195
"10","District of Columbia",647484,35.5976363894706,47.9823439652563,0.195371623082578,3.62850665035738,0.0336687856379463,0.276454707761118,0.128034051806686,1.99510721500454,4.60799031327415,0.890987267639046,0.137300690055662,0.0506576224277357,0.00494220706612055,3.91808909563788,0.249118124926639,0.303791290595598
"11","Florida",19645772,56.0616757641288,15.4519048678769,0.206614430830206,2.54486308809855,0.0490181806039488,0.260341003652084,0.11378529690765,1.58794981434173,19.958253613042,0.689522407162213,0.0711501691050879,0.0464578332681454,0.00709567432626216,2.25013300571746,0.333145472725633,0.368089378213287
"12","Georgia",10006693,54.5674879802948,30.5230709086408,0.183317305727277,3.58055353551868,0.0407827041361217,0.230155956618235,0.0807559500426365,1.64879646052897,5.64911904462343,0.423786359789393,0.0753795484682102,0.0215155996091816,0.00622583304993968,2.56200524988625,0.230115983372329,0.176931579693711
