"","StateName","Unemployment rate; Estimate; AGE - 16 to 19 years","Unemployment rate; Estimate; AGE - 20 to 24 years","Unemployment rate; Estimate; AGE - 25 to 29 years","Unemployment rate; Estimate; AGE - 30 to 34 years","Unemployment rate; Estimate; AGE - 35 to 44 years","Unemployment rate; Estimate; AGE - 45 to 54 years","Unemployment rate; Estimate; AGE - 55 to 59 years","Unemployment rate; Estimate; AGE - 60 to 64 years","Unemployment rate; Estimate; AGE - 65 to 74 years","Unemployment rate; Estimate; AGE - 75 years and over","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone","Unemployment rate; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races","Unemployment rate; Estimate; Hispanic or Latino origin (of any race)","Unemployment rate; Estimate; White alone, not Hispanic or Latino"
"2","Alabama",29,17.3,11.7,9.8,7.3,6.3,5.1,5,4.8,4.1,7.4,14.5,14.4,4.5,15.3,7.8,15.3,7.9,7.4
"3","Alaska",21.3,13.2,9,6.4,6.9,7,6.1,4.8,6.1,2.2,6,11.3,20.3,5.1,12.6,5.5,12,7.2,6.1
"4","Arizona",26.6,14.3,9.6,7.9,6.8,6.8,7,6.7,6.6,5.1,7.9,13.2,20.3,5.8,12.4,11.7,12.9,10.5,7.3
"5","Arkansas",24.7,13.8,9.1,8.2,6.5,5.3,3.8,3.8,3.5,3.3,6.5,14.6,8.8,5.4,8.8,6.6,10.3,6.4,6.5
"6","California",32.5,16.3,10.8,8.8,7.9,7.7,7.7,7.5,6.9,6.4,9.3,16.6,15,7.4,14.1,11.5,13.2,11.4,8.3
"7","Colorado",23.3,11.6,6.9,6.2,4.9,5.4,5.5,5.5,5.6,4.6,6.4,12.8,13,5.3,9.3,10,11.1,9.3,6
"8","Connecticut",24.3,14.4,10,9.4,7.2,6.9,6.5,6.3,6.5,5.8,7.5,16.2,15,7,9.6,13.8,14.5,12.9,7.1
"9","Delaware",22.7,13.2,9.3,7.6,5.9,6,5.1,5.8,4.9,5.2,6.8,10.3,14.5,5.4,8.9,10.5,12.4,8.1,6.8
"10","District of Columbia",30.1,17,7.6,7.7,8.3,9.7,9.7,7.4,5.7,2.3,3.5,17.9,16.3,2.3,0,9.9,7.5,8.5,3.1
"11","Florida",29.3,15.8,10.9,9.4,7.8,7.7,7.8,7.1,7.2,7.4,8.4,15.6,15.5,6.3,16.5,10.8,12.3,9.6,8.1
"12","Georgia",30.7,17.8,11,9.3,7.4,7,6.6,6.1,6,4.5,7.3,14.7,11.8,5.7,6,7.7,14.3,8.2,7.3
