State,City,,Population1,"Violent
crime",Murder,"Rape
(revised
definition)2","Rape
(legacy
definition)3",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson4,,,
ALABAMA,BIRMINGHAM,2014,"212,115","1,619",23,83,,454,"1,059","6,596","1,716","4,169",711,76,,,
,,2015,,"1,756",30,77,,507,"1,142","6,246","1,446","4,120",680,,,,
,HUNTSVILLE,2014,"187,624",770,12,50,,188,520,"4,376",908,"3,111",357,12,,,
,,2015,,723,5,65,,173,480,"4,121",836,"2,903",382,,,,
,MOBILE5,2014,"250,655",747,17,67,,203,460,"5,747","1,461","4,039",247,54,,,
,,2015,,755,9,69,,186,491,"5,210","1,032","3,886",292,,,,
,MONTGOMERY,2014,"200,194",504,14,21,,218,251,"4,142","1,153","2,689",300,,,,
,,2015,,519,20,14,,191,294,"4,029","1,236","2,442",351,,,,
ALASKA,ANCHORAGE,2014,"301,306","1,209",6,193,,247,763,"5,515",629,"4,474",412,33,,,
,,2015,,"1,615",16,323,,271,"1,005","5,732",811,"4,516",405,63,,,
ARIZONA,CHANDLER,2014,"252,369",228,1,24,,55,148,"2,941",518,"2,315",108,49,,,
,,2015,,206,0,26,,51,129,"2,524",384,"2,033",107,26,,, 
,GILBERT,2014,"235,430",113,0,9,,31,73,"1,670",239,"1,368",63,10,,,
,,2015,,92,0,13,,14,65,"1,588",241,"1,283",64,12,,,
,GLENDALE,2014,"236,780",431,8,59,,170,194,"6,055",969,"4,584",502,23,,,
,,2015,,436,5,49,,161,221,"6,290","1,066","4,701",523,26,,,
,PEORIA,2014,"164,722",120,1,17,,27,75,"1,752",294,"1,365",93,3,,,
,,2015,,146,1,16,,25,104,"1,676",367,"1,207",102,5,,,
,PHOENIX,2014,"1,529,852","4,234",50,486,,"1,407","2,291","28,145","6,928","17,672","3,545",173,,,
,,2015,,"4,513",52,509,,"1,502","2,450","27,356","6,645","17,089","3,622",,,,
,SCOTTSDALE,2014,"229,325",173,0,38,,39,96,"2,629",449,"2,076",104,5,,,
,,2015,,189,3,48,,53,85,"2,580",398,"2,091",91,4,,,
,SURPRISE,2014,"125,049",69,3,4,,19,43,998,167,758,73,9,,,
,,2015,,85,1,6,,20,58,"1,088",231,807,50,10,,,
,TEMPE,2014,"169,812",429,1,48,,93,287,"3,878",596,"3,061",221,24,,,
,,2015,,348,2,47,,83,216,"3,731",531,"3,043",157,30,,,
,TUCSON6,2014,"527,328",,,,,,,,,,,,,,
,,2015,,"1,706",16,213,,516,961,"16,680","1,784","13,919",977,58,,,
CALIFORNIA,ANAHEIM7,2014,"346,956",537,5,,37,203,292,"4,206",619,"2,915",672,9,,,
,,2015,,628,10,65,,211,342,"5,018",724,"3,472",822,,,,
,ANTIOCH,2014,"108,223",419,3,,30,148,238,"2,131",701,921,509,23,,,
,,2015,,387,2,31,,135,219,"1,931",496,895,540,18,,,
,BAKERSFIELD,2014,"367,406",861,7,,8,334,512,"7,609","2,147","4,354","1,108",203,,,
,,2015,,879,12,38,,324,505,"7,748","1,885","4,661","1,202",204,,,
,BERKELEY,2014,"117,753",179,1,20,,108,50,"2,391",410,"1,680",301,5,,,
,,2015,,269,0,20,,165,84,"2,909",587,"1,971",351,9,,,
,BURBANK,2014,"105,041",70,1,,4,27,38,"1,264",161,"1,011",92,9,,,
,,2015,,69,0,5,,25,39,"1,282",143,"1,047",92,4,,,
,CARLSBAD,2014,"112,297",101,1,,8,22,70,894,188,655,51,2,,,
,,2015,,88,0,15,,18,55,"1,028",188,782,58,5,,,
,CHULA VISTA,2014,"259,894",292,3,,20,107,162,"2,350",313,"1,605",432,21,,,
,,2015,,318,2,30,,121,165,"2,210",305,"1,511",394,,,,
,CONCORD,2014,"126,744",217,1,12,,78,126,"2,466",417,"1,597",452,2,,,
,,2015,,241,0,15,,91,135,"2,367",338,"1,512",517,4,,,
,CORONA,2014,"161,128",90,0,,13,34,43,"1,732",270,"1,209",253,10,,,
,,2015,,93,0,9,,42,42,"1,794",275,"1,310",209,5,,,
,COSTA MESA7,2014,"112,709",127,0,,15,38,74,"1,675",273,"1,235",167,12,,,
,,2015,,187,1,25,,67,94,"2,345",336,"1,777",232,8,,,
,DALY CITY,2014,"105,628",100,2,12,,39,47,817,163,519,135,6,,,
,,2015,,132,0,8,,49,75,965,180,646,139,2,,,
,DOWNEY7,2014,"113,595",146,2,,9,62,73,"1,444",240,835,369,9,,,
,,2015,,150,2,11,,84,53,"1,356",210,784,362,5,,,
,EL CAJON,2014,"102,838",188,2,,11,83,92,"1,177",203,806,168,4,,,
,,2015,,158,0,25,,42,91,"1,118",179,766,173,8,,,
,ELK GROVE,2014,"162,957",315,0,16,,56,243,"1,427",291,"1,051",85,3,,,
,,2015,,296,1,19,,51,225,"1,539",318,"1,109",112,3,,,
,EL MONTE7,2014,"116,220",174,1,,7,81,85,"1,063",231,566,266,1,,,
,,2015,,195,2,13,,65,115,"1,057",224,525,308,12,,,
,ESCONDIDO,2014,"149,839",245,0,,11,69,165,"1,628",260,"1,063",305,10,,,
,,2015,,270,5,30,,89,146,"1,636",218,"1,103",315,7,,,
,FAIRFIELD,2014,"110,300",276,4,,20,104,148,"1,854",313,"1,217",324,7,,,
,,2015,,247,2,17,,80,148,"1,739",247,"1,246",246,11,,,
,FONTANA,2014,"204,532",366,2,,8,100,256,"1,823",321,"1,075",427,4,,,
,,2015,,384,2,19,,100,263,"2,157",375,"1,271",511,3,,,
,FREMONT,2014,"227,575",115,1,,7,51,56,"2,093",401,"1,389",303,9,,,
,,2015,,144,1,19,,70,54,"2,172",438,"1,390",344,9,,,
,FULLERTON7,2014,"139,895",163,0,,14,57,92,"1,638",276,"1,194",168,16,,,
,,2015,,193,0,30,,50,113,"1,924",222,"1,485",217,,,,
,GARDEN GROVE7,2014,"176,106",211,3,,7,64,137,"1,540",312,979,249,16,,,
,,2015,,267,1,23,,81,162,"2,198",380,"1,491",327,10,,,
,GLENDALE7,2014,"197,079",86,0,,4,31,51,"1,571",257,"1,173",141,11,,,
,,2015,,95,3,8,,37,47,"1,693",262,"1,259",172,5,,,
,HAYWARD,2014,"153,319",289,5,20,,152,112,"2,372",474,"1,237",661,22,,,
,,2015,,294,3,33,,164,94,"2,338",385,"1,259",694,17,,,
,HUNTINGTON BEACH,2014,"199,152",191,1,27,,50,113,"2,120",298,"1,675",147,7,,,
,,2015,,178,0,21,,52,105,"2,388",360,"1,838",190,14,,,
,INGLEWOOD7,2014,"111,997",357,14,,14,162,167,"1,356",279,731,346,12,,,
,,2015,,347,2,17,,160,168,"1,282",260,679,343,4,,,
,IRVINE7,2014,"242,971",54,0,,9,17,28,"1,495",266,"1,167",62,4,,,
,,2015,,56,1,11,,20,24,"1,949",251,"1,598",100,3,,,
,LANCASTER,2014,"160,190",459,3,,26,109,321,"1,659",503,966,190,22,,,
,,2015,,481,6,42,,146,287,"1,707",526,979,202,27,,,
,LONG BEACH,2014,"471,123","1,096",14,,60,429,593,"6,123","1,785","3,203","1,135",44,,,
,,2015,,"1,312",13,94,,465,740,"6,813","1,470","4,089","1,254",28,,,
,LOS ANGELES,2014,"3,906,772","8,700",132,522,,"3,619","4,427","39,703","6,875","26,431","6,397",675,,,
,,2015,,"10,814",128,665,,"4,274","5,747","45,362","8,190","29,648","7,524",638,,,
,MODESTO,2014,"205,820",869,7,,31,204,627,"4,663","1,009","3,066",588,29,,,
,,2015,,983,9,50,,235,689,"4,857",722,"3,294",841,28,,,
,MORENO VALLEY,2014,"202,911",248,1,,9,116,122,"3,124",863,"1,789",472,7,,,
,,2015,,282,2,16,,125,139,"3,105",612,"2,025",468,5,,,
,MURRIETA,2014,"108,376",21,0,,2,7,12,735,140,488,107,6,,,
, ,2015,,42,0,7,,17,18,981,157,672,152,5,,,
,NORWALK,2014,"106,838",171,5,,8,64,94,996,195,588,213,7,,,
,,2015,,194,2,12,,69,111,942,169,553,220,1,,,
,OCEANSIDE,2014,"174,102",338,2,,28,84,224,"1,924",305,"1,417",202,19,,,
,,2015,,313,6,33,,102,172,"2,156",264,"1,666",226,9,,,
,ONTARIO,2014,"168,278",231,4,,9,88,130,"2,207",399,"1,412",396,12,,,
,,2015,,263,2,14,,100,147,"2,542",442,"1,595",505,19,,,
,ORANGE7,2014,"140,767",77,0,,2,31,44,"1,116",202,790,124,18,,,
,,2015,,96,2,6,,31,57,"1,502",287,"1,042",173,4,,,
,OXNARD,2014,"204,159",447,5,27,,233,182,"2,968",584,"2,041",343,21,,,
,,2015,,446,6,12,,193,235,"3,312",490,"2,430",392,12,,,
,PALMDALE,2014,"158,210",409,5,,14,120,270,"1,525",385,"1,010",130,12,,,
,,2015,,406,4,24,,121,257,"1,590",424,920,246,14,,,
,PASADENA7,2014,"140,373",174,3,,11,53,107,"1,767",364,"1,282",121,14,,,
,,2015,,204,1,28,,66,109,"1,951",409,"1,372",170,30,,,
,POMONA7,2014,"151,899",400,8,,24,123,245,"2,199",299,"1,395",505,6,,,
,,2015,,400,7,35,,147,211,"2,321",323,"1,314",684,27,,,
,RANCHO CUCAMONGA,2014,"172,694",130,3,6,,44,77,"1,866",663,975,228,11,,,
,,2015,,97,1,14,,36,46,"1,906",608,"1,129",169,4,,,
,RIALTO,2014,"102,540",162,0,,11,58,93,"1,149",331,452,366,8,,,
,,2015,,207,1,19,,73,114,"1,020",310,410,300,8,,,
,RIVERSIDE,2014,"319,453",658,9,,69,221,359,"4,657",768,"3,163",726,48,,,
,,2015,,679,3,63,,253,360,"4,949",781,"3,416",752,,,,
,ROSEVILLE,2014,"128,997",101,1,9,,27,64,"1,509",204,"1,191",114,8,,,
,,2015,,123,0,15,,32,76,"1,621",242,"1,240",139,5,,,
,SACRAMENTO,2014,"482,767","1,460",18,,31,464,947,"7,642","1,594","4,908","1,140",75,,,
,,2015,,"1,830",25,50,,572,"1,183","8,056","1,798","4,858","1,400",,,,
,SALINAS,2014,"156,908",471,7,,13,205,246,"2,743",702,"1,328",713,20,,,
,,2015,,589,12,40,,224,313,"2,361",456,"1,033",872,12,,,
,SAN BERNARDINO,2014,"214,588","1,058",26,,47,400,585,"4,559","1,133","2,186","1,240",67,,,
,,2015,,"1,223",16,50,,419,738,"5,050","1,562","2,174","1,314",28,,,
,SAN DIEGO,2014,"1,368,690","2,591",19,,183,635,"1,754","13,759","2,647","8,515","2,597",110,,,
,,2015,,"2,845",17,253,,659,"1,916","13,776","2,435","8,898","2,443",,,,
,SAN FRANCISCO,2014,"850,294","3,279",14,163,,"1,510","1,592","21,330","2,722","15,613","2,995",117,,,
,,2015,,"3,453",24,174,,"1,899","1,356","27,001","2,653","20,854","3,494",160,,,
,SAN JOSE,2014,"1,009,679","1,629",19,,145,561,904,"12,053","2,501","5,657","3,895",63,,,
,,2015,,"1,700",11,178,,581,930,"12,717","2,466","6,605","3,646",60,,,
,SAN MATEO,2014,"102,082",107,0,,10,43,54,994,158,744,92,4,,,
,,2015,,118,0,5,,27,86,977,355,540,82,3,,,
,SANTA ANA7,2014,"336,462",619,10,,50,219,340,"2,793",413,"1,783",597,8,,,
,,2015,,773,6,69,,259,439,"3,618",392,"2,287",939,18,,,
,SANTA CLARA,2014,"121,114",77,0,,22,39,16,"1,653",289,"1,152",212,6,,,
,,2015,,79,0,6,,40,33,"1,848",280,"1,344",224,6,,,
,SANTA MARIA,2014,"102,885",225,0,,18,78,129,"1,642",337,824,481,8,,,
,,2015,,214,4,26,,67,117,"1,466",328,804,334,4,,,
,SANTA ROSA7,2014,"172,991",302,0,,31,60,211,"2,107",335,"1,560",212,35,,,
,,2015,,312,2,40,,65,205,"2,313",324,"1,739",250,20,,,
,SIMI VALLEY7,2014,"126,604",50,0,,9,10,31,778,134,598,46,2,,,
,,2015,,83,1,12,,20,50,801,132,613,56,5,,,
,STOCKTON,2014,"299,519","1,972",21,,61,532,"1,358","6,725","1,638","4,150",937,37,,,
,,2015,,"2,019",18,65,,570,"1,366","6,399","1,450","3,999",950,47,,,
,SUNNYVALE,2014,"149,384",78,0,9,,36,33,"1,143",250,749,144,12,,,
,,2015,,78,0,17,,34,27,"1,231",302,778,151,7,,,
,TEMECULA,2014,"108,308",44,1,,4,26,13,"1,318",380,830,108,5,,,
,,2015,,51,0,5,,20,26,"1,503",266,"1,077",160,1,,,
,THOUSAND OAKS,2014,"129,175",69,0,13,,11,45,794,162,582,50,3,,,
,,2015,,65,0,18,,12,35,830,131,638,61,4,,,
,TORRANCE7,2014,"147,971",64,1,,6,21,36,"1,218",282,813,123,2,,,
,,2015,,104,1,20,,36,47,"1,418",272,980,166,1,,,
,VALLEJO,2014,"119,504",518,5,,25,204,284,"2,380","1,063",774,543,22,,,
,,2015,,502,8,55,,154,285,"2,449","1,084",852,513,17,,,
,VENTURA,2014,"109,246",121,1,,12,45,63,"1,901",325,"1,484",92,2,,,
,,2015,,196,1,32,,53,110,"1,945",327,"1,493",125,8,,,
,VICTORVILLE,2014,"122,316",307,3,,18,92,194,"2,100",891,931,278,8,,,
,,2015,,372,4,26,,96,246,"1,891",617,991,283,23,,,
,VISALIA,2014,"128,488",233,5,,17,74,137,"1,971",362,"1,325",284,2,,,
,,2015,,285,3,34,,75,173,"1,962",419,"1,303",240,10,,,
,WEST COVINA,2014,"108,136",106,0,,2,31,73,"1,390",233,955,202,2,,,
,,2015,,121,1,6,,39,75,"1,460",182,"1,049",229,2,,,
COLORADO,AURORA,2014,"350,948",698,5,129,,191,373,"4,832",905,"3,430",497,41,,,
,,2015,,734,3,171,,197,363,"4,961",781,"3,589",591,34,,,
,BOULDER,2014,"104,284",122,1,22,,13,86,"1,360",225,"1,056",79,14,,,
,,2015,,106,1,25,,12,68,"1,376",237,"1,074",65,8,,,
,COLORADO SPRINGS,2014,"444,949",982,11,196,,207,568,"7,696","1,252","5,686",758,55,,,
